GEOID,Pop_1E,Pov_1E,PovU_1E,HU_1E,HUOcc_1E,HURent_1E,LEP_1E,Age65pl_1E,Dis_1E,NTVBorn_1E,FBorn_1E
36085000000,6778,2190,6778,3503,3152,1947,949,933,376,3188,3750
36085000001,1573,453,1573,901,810,692,117,291,80,705,543
36085000002,1130,226,1130,420,378,312,96,223,156,629,481
36005000003,3480,373,3480,1321,1188,758,142,786,368,1872,1704
36081000004,7722,1374,7722,2434,2190,1734,836,820,580,3543,4081
36005000005,4584,343,4584,1891,1701,1309,460,810,456,3217,1153
36005000006,2491,713,2491,1118,1006,674,110,367,206,1609,895
36085000007,5136,972,5136,1969,1772,1534,346,1277,346,2490,1579
36085000008,2665,660,2665,1151,1035,565,289,215,341,2069,1433
36081000009,1070,310,1070,581,522,389,160,154,144,852,262
36005000010,5738,929,5738,3317,2985,1659,579,539,821,3129,1665
36085000011,2551,685,2551,1449,1304,702,320,220,288,1383,660
36081000012,7552,495,7552,4124,3711,2800,317,750,773,5569,4246
36081000013,3384,739,3384,1905,1714,965,196,498,480,2199,1307
36085000014,5602,493,5602,1877,1689,757,602,1272,554,2885,2116
36061000015,5059,1341,5059,2726,2453,1315,752,424,446,3618,1077
36085000016,7895,2728,7895,3683,3314,1590,1073,1963,724,5766,2113
36061000017,3304,669,3304,1325,1192,595,257,529,362,1726,840
36047000018,6646,2042,6646,3484,3135,2195,330,1086,496,4646,3947
36061000019,6847,659,6847,2432,2188,1412,923,1626,915,5192,3865
36081000020,5860,1763,5860,3012,2710,1229,491,1003,438,3881,1398
36005000021,1312,140,1312,461,414,314,114,177,107,697,518
36061000022,2674,508,2674,1124,1011,928,336,664,200,1682,1530
36081000023,1150,261,1150,486,437,379,160,133,65,662,445
36047000024,6596,1301,6596,3142,2827,2061,951,1272,795,4207,2017
36081000025,5391,1234,5391,3090,2781,1572,442,907,458,2426,1952
36081000026,2025,212,2025,696,626,624,115,349,183,988,1106
36061000027,2399,831,2399,1287,1158,880,97,573,282,1295,1190
36047000028,6698,941,6698,2598,2338,2077,378,813,798,3313,3403
36047000029,1958,551,1958,645,580,258,273,204,153,1187,528
36081000030,7697,2032,7697,3412,3070,1687,626,1907,501,4029,1621
36085000031,2850,214,2850,1216,1094,694,326,288,258,1279,1429
36081000032,1324,262,1324,610,549,406,195,292,182,605,563
36061000033,4238,1036,4238,1690,1521,1300,209,981,412,1799,1022
36085000034,1575,307,1575,705,634,402,82,229,133,1056,578
36085000035,6520,1116,6520,2859,2573,1812,814,1506,654,4273,1661
36061000036,7731,1225,7731,3034,2730,2026,1073,1118,691,5568,3083
36061000037,6269,822,6269,3320,2988,2531,703,1426,457,4951,2895
36085000038,2426,365,2426,1069,962,818,193,233,178,1445,1424
36005000039,3299,739,3299,1317,1185,1039,183,804,463,2269,1755
36085000040,5306,677,5306,1961,1764,1247,254,1049,515,3192,1364
36081000041,3113,172,3113,1651,1485,1428,236,601,320,2174,1199
36081000042,7270,2092,7270,2261,2034,1618,698,1240,970,2996,2302
