date_local,state_name,county_name,aqi,category,pm25_concentration,ozone_concentration
2025-05-04,New York,New York,27,Good,6.59,0.078
2025-05-05,New York,New York,149,Unhealthy for Sensitive Groups,29.75,0.041
2025-05-06,New York,New York,31,Moderate,28.28,0.045
2025-05-07,New York,New York,104,Good,16.46,0.032
2025-05-08,New York,New York,51,Moderate,9.62,0.028
2025-05-09,New York,New York,136,Unhealthy for Sensitive Groups,31.59,0.034
2025-05-10,New York,New York,133,Unhealthy for Sensitive Groups,21.98,0.022
2025-05-11,New York,New York,100,Unhealthy for Sensitive Groups,24.62,0.042
2025-05-12,New York,New York,46,Unhealthy for Sensitive Groups,33.55,0.079
2025-05-13,New York,New York,69,Good,21.92,0.05
2025-05-14,New York,New York,119,Moderate,23.34,0.052
2025-05-15,New York,New York,114,Unhealthy for Sensitive Groups,16.59,0.061
2025-05-16,New York,New York,47,Moderate,10.16,0.03
2025-05-17,New York,New York,134,Good,27.8,0.065
2025-05-18,New York,New York,69,Good,30.41,0.049
2025-05-19,New York,New York,61,Moderate,14.62,0.076
2025-05-20,New York,New York,71,Good,25.8,0.076
2025-05-21,New York,New York,126,Moderate,16.65,0.075
2025-05-22,New York,New York,145,Unhealthy for Sensitive Groups,20.55,0.066
2025-05-23,New York,New York,83,Moderate,15.31,0.03
2025-05-24,New York,New York,148,Moderate,31.76,0.074
2025-05-25,New York,New York,87,Unhealthy for Sensitive Groups,6.13,0.051
2025-05-26,New York,New York,141,Unhealthy for Sensitive Groups,9.91,0.067
2025-05-27,New York,New York,70,Unhealthy for Sensitive Groups,27.02,0.066
2025-05-28,New York,New York,93,Moderate,13.03,0.078
2025-05-29,New York,New York,98,Moderate,5.46,0.077
2025-05-30,New York,New York,85,Moderate,6.59,0.074
2025-05-31,New York,New York,31,Good,22.41,0.038
2025-06-01,New York,New York,141,Good,13.85,0.038
2025-06-02,New York,New York,89,Unhealthy for Sensitive Groups,28.28,0.044
