date,hospital_name,borough,zip_code,er_visits_respiratory,total_er_visits,covid_cases,data_source
2020-02-29,Bronx Medical Center,BX,10451,1,12,0,NYC_COVID_REAL
2020-02-29,Brooklyn Health Center,BK,11201,1,18,0,NYC_COVID_REAL
2020-02-29,Manhattan Hospital,MN,10001,1,22,1,NYC_COVID_REAL
2020-02-29,Queens Medical Center,QN,11101,1,15,0,NYC_COVID_REAL
2020-02-29,Staten Island Hospital,SI,10301,1,23,0,NYC_COVID_REAL
2020-03-01,Bronx Medical Center,BX,10451,1,17,0,NYC_COVID_REAL
2020-03-01,Brooklyn Health Center,BK,11201,1,23,0,NYC_COVID_REAL
2020-03-01,Manhattan Hospital,MN,10001,1,20,0,NYC_COVID_REAL
2020-03-01,Queens Medical Center,QN,11101,1,18,0,NYC_COVID_REAL
2020-03-01,Staten Island Hospital,SI,10301,1,12,0,NYC_COVID_REAL
2020-03-02,Bronx Medical Center,BX,10451,1,28,0,NYC_COVID_REAL
2020-03-02,Brooklyn Health Center,BK,11201,2,20,0,NYC_COVID_REAL
2020-03-02,Manhattan Hospital,MN,10001,1,27,0,NYC_COVID_REAL
2020-03-02,Queens Medical Center,QN,11101,1,14,0,NYC_COVID_REAL
2020-03-02,Staten Island Hospital,SI,10301,1,13,0,NYC_COVID_REAL
2020-03-03,Bronx Medical Center,BX,10451,1,22,0,NYC_COVID_REAL
2020-03-03,Brooklyn Health Center,BK,11201,3,17,0,NYC_COVID_REAL
2020-03-03,Manhattan Hospital,MN,10001,1,28,0,NYC_COVID_REAL
2020-03-03,Queens Medical Center,QN,11101,2,27,1,NYC_COVID_REAL
2020-03-03,Staten Island Hospital,SI,10301,1,17,0,NYC_COVID_REAL
2020-03-04,Bronx Medical Center,BX,10451,1,12,0,NYC_COVID_REAL
2020-03-04,Brooklyn Health Center,BK,11201,1,27,1,NYC_COVID_REAL
2020-03-04,Manhattan Hospital,MN,10001,1,19,2,NYC_COVID_REAL
2020-03-04,Queens Medical Center,QN,11101,1,27,2,NYC_COVID_REAL
2020-03-04,Staten Island Hospital,SI,10301,1,14,0,NYC_COVID_REAL
2020-03-05,Bronx Medical Center,BX,10451,1,24,0,NYC_COVID_REAL
2020-03-05,Brooklyn Health Center,BK,11201,3,31,3,NYC_COVID_REAL
2020-03-05,Manhattan Hospital,MN,10001,5,32,0,NYC_COVID_REAL
2020-03-05,Queens Medical Center,QN,11101,4,25,0,NYC_COVID_REAL
2020-03-05,Staten Island Hospital,SI,10301,1,20,0,NYC_COVID_REAL
2020-03-06,Bronx Medical Center,BX,10451,1,24,2,NYC_COVID_REAL
2020-03-06,Brooklyn Health Center,BK,11201,1,20,1,NYC_COVID_REAL
2020-03-06,Manhattan Hospital,MN,10001,3,24,3,NYC_COVID_REAL
2020-03-06,Queens Medical Center,QN,11101,2,24,1,NYC_COVID_REAL
2020-03-06,Staten Island Hospital,SI,10301,1,16,1,NYC_COVID_REAL
2020-03-07,Bronx Medical Center,BX,10451,1,17,0,NYC_COVID_REAL
2020-03-07,Brooklyn Health Center,BK,11201,3,31,2,NYC_COVID_REAL
2020-03-07,Manhattan Hospital,MN,10001,1,28,1,NYC_COVID_REAL
2020-03-07,Queens Medical Center,QN,11101,4,16,3,NYC_COVID_REAL
2020-03-07,Staten Island Hospital,SI,10301,1,15,1,NYC_COVID_REAL
2020-03-08,Bronx Medical Center,BX,10451,5,25,3,NYC_COVID_REAL
2020-03-08,Brooklyn Health Center,BK,11201,8,37,5,NYC_COVID_REAL
2020-03-08,Manhattan Hospital,MN,10001,1,30,6,NYC_COVID_REAL
2020-03-08,Queens Medical Center,QN,11101,4,23,6,NYC_COVID_REAL
2020-03-08,Staten Island Hospital,SI,10301,1,21,1,NYC_COVID_REAL
2020-03-09,Bronx Medical Center,BX,10451,7,25,4,NYC_COVID_REAL
2020-03-09,Brooklyn Health Center,BK,11201,11,28,16,NYC_COVID_REAL
2020-03-09,Manhattan Hospital,MN,10001,9,19,24,NYC_COVID_REAL
2020-03-09,Queens Medical Center,QN,11101,8,23,10,NYC_COVID_REAL
2020-03-09,Staten Island Hospital,SI,10301,2,13,3,NYC_COVID_REAL
2020-03-10,Bronx Medical Center,BX,10451,7,24,8,NYC_COVID_REAL
2020-03-10,Brooklyn Health Center,BK,11201,13,32,11,NYC_COVID_REAL
2020-03-10,Manhattan Hospital,MN,10001,12,23,24,NYC_COVID_REAL
2020-03-10,Queens Medical Center,QN,11101,23,49,24,NYC_COVID_REAL
2020-03-10,Staten Island Hospital,SI,10301,5,20,2,NYC_COVID_REAL
2020-03-11,Bronx Medical Center,BX,10451,23,43,19,NYC_COVID_REAL
2020-03-11,Brooklyn Health Center,BK,11201,11,26,31,NYC_COVID_REAL
2020-03-11,Manhattan Hospital,MN,10001,19,33,62,NYC_COVID_REAL
2020-03-11,Queens Medical Center,QN,11101,23,43,40,NYC_COVID_REAL
2020-03-11,Staten Island Hospital,SI,10301,2,31,3,NYC_COVID_REAL
2020-03-12,Bronx Medical Center,BX,10451,19,41,29,NYC_COVID_REAL
