date,hospital_name,borough,zip_code,er_visits_respiratory,total_er_visits
2020-02-29,Bronx-Lebanon Hospital,Bronx,11048,24,104
2020-02-29,St. Barnabas Hospital,Bronx,18865,29,115
2020-02-29,Montefiore Medical Center,Bronx,12011,31,179
2020-02-29,Brooklyn Methodist Hospital,Brooklyn,19605,24,110
2020-02-29,Kings County Hospital,Brooklyn,13938,20,82
2020-02-29,Maimonides Medical Center,Brooklyn,14882,19,113
2020-02-29,Mount Sinai Hospital,Manhattan,18743,19,119
2020-02-29,NYU Langone Health,Manhattan,16995,21,76
2020-02-29,NewYork-Presbyterian,Manhattan,14516,24,124
2020-02-29,Jamaica Hospital,Queens,19899,17,98
2020-02-29,Queens Hospital Center,Queens,16260,43,113
2020-02-29,Elmhurst Hospital,Queens,14082,24,104
2020-02-29,Richmond University Medical Center,Staten Island,15099,23,101
2020-02-29,Staten Island University Hospital,Staten Island,17595,22,161
2020-03-01,Bronx-Lebanon Hospital,Bronx,13456,30,144
2020-03-01,St. Barnabas Hospital,Bronx,16587,15,145
2020-03-01,Montefiore Medical Center,Bronx,16509,21,83
2020-03-01,Brooklyn Methodist Hospital,Brooklyn,14207,36,129
2020-03-01,Kings County Hospital,Brooklyn,12279,35,143
2020-03-01,Maimonides Medical Center,Brooklyn,17528,27,132
2020-03-01,Mount Sinai Hospital,Manhattan,14385,39,173
2020-03-01,NYU Langone Health,Manhattan,11286,20,90
2020-03-01,NewYork-Presbyterian,Manhattan,14064,16,80
2020-03-01,Jamaica Hospital,Queens,16937,30,103
2020-03-01,Queens Hospital Center,Queens,18255,21,88
2020-03-01,Elmhurst Hospital,Queens,15401,36,183
2020-03-01,Richmond University Medical Center,Staten Island,11602,25,83
2020-03-01,Staten Island University Hospital,Staten Island,13055,15,145
2020-03-02,Bronx-Lebanon Hospital,Bronx,18306,23,78
2020-03-02,St. Barnabas Hospital,Bronx,11771,39,129
2020-03-02,Montefiore Medical Center,Bronx,12848,43,146
2020-03-02,Brooklyn Methodist Hospital,Brooklyn,16694,30,179
2020-03-02,Kings County Hospital,Brooklyn,19745,41,140
2020-03-02,Maimonides Medical Center,Brooklyn,16483,25,131
2020-03-02,Mount Sinai Hospital,Manhattan,17040,36,132
2020-03-02,NYU Langone Health,Manhattan,17178,20,131
2020-03-02,NewYork-Presbyterian,Manhattan,17323,42,171
2020-03-02,Jamaica Hospital,Queens,17052,32,118
2020-03-02,Queens Hospital Center,Queens,11544,19,124
2020-03-02,Elmhurst Hospital,Queens,15599,26,128
2020-03-02,Richmond University Medical Center,Staten Island,16480,39,150
2020-03-02,Staten Island University Hospital,Staten Island,18876,33,90
2020-03-03,Bronx-Lebanon Hospital,Bronx,14592,32,117
2020-03-03,St. Barnabas Hospital,Bronx,13092,33,168
2020-03-03,Montefiore Medical Center,Bronx,18482,32,144
2020-03-03,Brooklyn Methodist Hospital,Brooklyn,19980,40,170
2020-03-03,Kings County Hospital,Brooklyn,19007,29,85
2020-03-03,Maimonides Medical Center,Brooklyn,19899,23,166
2020-03-03,Mount Sinai Hospital,Manhattan,12654,42,99
2020-03-03,NYU Langone Health,Manhattan,17443,16,95
2020-03-03,NewYork-Presbyterian,Manhattan,13987,17,98
2020-03-03,Jamaica Hospital,Queens,18849,32,154
2020-03-03,Queens Hospital Center,Queens,12117,35,160
